institution_id,myjkkn_institution_id,course_code,course_name,coe_course_id,action
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC09,CORE-IX-DATA SCIENCE &ANALYTICS,c4673749-3041-4121-a1d6-68e3d67807dc,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC10,CORE X - PHP PROGRAMMING,7c181edf-6b47-40e5-b70e-3dd877c7851e,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSC11,CORE XI- ADVANCED DBMS,c044c0fa-3b00-4006-b568-4b129a63d1a0,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP01,CORE PRACTICAL-I-ALGORITHM AND OOPS LAB,cbdb27e2-a6e5-4506-a738-aaee6945a3a1,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP02,CORE PRACTICAL-II-PYTHON PROGRAMMING LAB,15007ac2-d229-4679-ac64-93f8a82be29f,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP03,CORE PRACTICAL-III-DATA MINING LAB USING R,fb586e99-5528-43dd-b378-9f8bdfc9b508,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP04,CORE PRACTICAL-IV-ADVANCED JAVA PROGRAMING LAB,5fd4f86b-3c3f-4e21-a01b-eb688107455d,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP05,CORE PRACTICAL-V-DIGITAL IMAGE PROCESSING LAB,09335878-3604-41e6-91e8-4c57c0619f9e,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSCP06,CORE PRACTICAL-VI-CLOUD COMPUTING LAB,cd5eda64-0124-4d4f-8c11-517e7372d508,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSE01,ELECTIVE-I-ADVANCED OPERATING SYSTEM,73066304-8a07-4eda-80c6-5992e6a67984,create
a33138b6-4eea-4675-941f-1071bf88b127,a33138b6-4eea-4675-941f-1071bf88b127,24PCSE02,ELECTIVE-I-ADVANCED SOFTWARE ENGINEERING,219e9b5a-da89-4b65-86f0-189874e6cd1d,create
